"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","3/47","90/9376",0.0333333333333333,6.64964539007092,3.82247914915018,0.0102273724006657,0.0268468525517475,0.0139617090338035,"3479/6648/847",3
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","3/47","93/9376",0.032258064516129,6.43514070006863,3.73873867804914,0.0111797360952291,0.0288953179076691,0.0150270136988505,"3688/3685/2335",3
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","4/47","184/9376",0.0217391304347826,4.33672525439408,3.24445214404054,0.0132745560349911,0.0335908977952644,0.0174689506078129,"3688/6387/7474/6469",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","3/47","100/9376",0.03,5.98468085106383,3.55691926820435,0.0135963157742737,0.0335908977952644,0.0174689506078129,"3586/6347/6387",3
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","3/47","100/9376",0.03,5.98468085106383,3.55691926820435,0.0135963157742737,0.0335908977952644,0.0174689506078129,"928/3678/3690",3
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/47","37/9376",0.0540540540540541,10.7832087406555,4.23203270219946,0.0146516709030785,0.0356736335031477,0.0185520775736921,"3586/3620",2
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","3/47","106/9376",0.0283018867924528,5.64592533119229,3.4143049820888,0.0158872282827928,0.0381293478787028,0.0198291721424331,"3479/5155/3320",3
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","3/47","110/9376",0.0272727272727273,5.44061895551257,3.32514603626566,0.0175283547834399,0.0414755437129282,0.0215693617053449,"7040/7043/650",3
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/47","41/9376",0.0487804878048781,9.73118837571355,3.97672121424154,0.0178125119093527,0.0415625277884897,0.0216145977847409,"7422/4313",2
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","2/47","42/9376",0.0476190476190476,9.49949341438703,3.91832819549871,0.0186440489908131,0.0429068524720082,0.0223137140048664,"3620/847",2
