"TF","CellType","Log2FC_Degen_vs_Normal"
"FOS","Proliferating-S",-0.453078689086321
"RELA","FC-Metabolic",0.45173664871047
"ETS2","Male-Inflammatory",0.450949668961308
"NFKB2","Meniscus-Progenitor",-0.447572241855897
"SOX5","Meniscus-Progenitor",-0.44374690543427
"CTNNB1","Proliferating-S",0.443482124420192
"FOXO1","OuterZone-FC",0.441787229352123
"JUNB","Endothelial",-0.441059450844477
"RUNX2","Stem-Progenitor",-0.438702334043238
"RUNX1","FC-Degenerated",0.435535781869483
"REL","Smooth-Muscle",-0.434362221658151
"HES1","Meniscus-Progenitor",-0.433955926281457
"TWIST1","Male-Inflammatory",0.433595367330916
"SMAD1","Stem-Progenitor",0.431361497941578
"HES1","Smooth-Muscle",-0.430200945188764
"REL","FC-Regulatory",0.426816325104777
"SMAD2","FC-Regulatory",-0.425135777966062
"STAT3","Proliferating-M",0.419298063982526
"SNAI1","Macrophage",-0.417231676981944
"FOS","FC-ECM",-0.41123496172688
"SOX9","Proliferating-S",0.410087207350453
"STAT5A","Endothelial",-0.406039574952984
"HOXA13","Stem-Progenitor",-0.404973921690355
"JUNB","Meniscus-Progenitor",0.402397411736942
"MYC","FC-Metabolic",-0.401090821183538
"ETS1","FC-Metabolic",0.398618666134239
"SMAD5","FC-ECM",0.396010370103931
"TP53","Meniscus-Progenitor",-0.393482327275762
"ETS2","Proliferating-M",-0.389148517929266
"NFKB2","OuterZone-FC",-0.388166804036224
"SMAD4","Endothelial",-0.38714886457072
"STAT3","FC-Metabolic",0.382597931850949
"HOXA13","Proliferating-M",-0.382232688634638
"FOS","Meniscus-Progenitor",-0.378575409683649
"HOXA13","FC-Regulatory",-0.378228097574646
"REL","Stem-Progenitor",-0.378118910449587
"SMAD4","Proliferating-M",0.372409099180258
"TBX5","Proliferating-M",-0.371411884522396
"REL","Meniscus-Progenitor",-0.368461148689207
"SNAI2","Proliferating-G2M",0.367111226641521
"PITX1","FC-Metabolic",-0.366356841869378
"SMAD3","FC-Metabolic",-0.366310466677999
"SMAD3","Secretory-Chondrocyte",-0.365609034367531
"TP53","Endothelial",-0.364854621005729
"REL","FC-Degenerated",-0.364055324250846
"TP53","Proliferating-M",0.363927731118746
"ETS2","Proliferating-G2M",0.363013224403351
"ZEB1","Meniscus-Progenitor",0.360785697392462
"PITX1","Meniscus-Progenitor",-0.357892650879198
"HES1","Endothelial",0.354397360973571
"EPAS1","FC-Regulatory",0.35285254987732
"PITX1","Proliferating-M",-0.350953709477554
"SMAD2","Proliferating-G2M",0.350203313729308
"TWIST1","Proliferating-S",-0.349959726465085
"NFKB1","FC-Degenerated",0.348006304544965
"JUNB","FC-ECM",-0.346602865256751
"HOXA13","Meniscus-Progenitor",-0.345054299990778
"SMAD5","Endothelial",0.344720994278059
"ETS1","FC-Degenerated",-0.342468578025229
"HIF1A","FC-Metabolic",0.340138993237027
"CDKN1A","Male-Inflammatory",0.338475953447315
"SMAD1","Endothelial",-0.336591746337669
"SMAD3","Macrophage",-0.331325194506333
"HES1","FC-Metabolic",0.329319050987045
"SMAD5","FC-Regulatory",0.328922777073426
"SOX6","FC-Degenerated",-0.324932867547493
"RBPJ","FC-Metabolic",-0.32458927743877
"LEF1","Smooth-Muscle",0.323155133293679
"PITX1","OuterZone-FC",-0.322055300324328
"SMAD5","FC-Metabolic",-0.319505480404952
"MYC","Male-Inflammatory",0.318303317722704
"RUNX1","Macrophage",-0.314234758284393
"CDKN1A","Meniscus-Progenitor",0.312877932542134
"SMAD4","Macrophage",0.311611347556614
"FOXO1","Endothelial",-0.309425716931145
"PITX1","FC-Regulatory",-0.307800084644204
"REL","Proliferating-M",-0.307076093422846
"SNAI2","FC-Metabolic",-0.306901746323084
"JUNB","Proliferating-G2M",-0.303486252816854
"ERG","FC-Regulatory",0.302991870307202
"SMAD3","Proliferating-S",0.302485230758591
"HOXA13","FC-ECM",0.301822989753485
"FOXO1","Macrophage",0.301197467096423
"TWIST1","Smooth-Muscle",-0.300361135857062
"STAT3","FC-Degenerated",0.297370545475835
"MYC","Secretory-Chondrocyte",0.295929852317076
"SMAD2","FC-ECM",0.29543076403777
"EPAS1","Endothelial",0.294226234244416
"RUNX1","Proliferating-M",-0.292905832144085
"TWIST1","Proliferating-G2M",-0.291250214548362
"STAT3","Proliferating-S",-0.288510490317387
"TBX5","Stem-Progenitor",-0.286358393742064
"TBX5","OuterZone-FC",-0.285463340087275
"HOXA13","Proliferating-G2M",0.283061765313652
"MYC","FC-Degenerated",0.282209796848846
"RELA","FC-Degenerated",-0.281616181929453
"NFKB2","Proliferating-S",-0.280637705371721
"ERG","FC-ECM",-0.277889366783783
"HOXA13","OuterZone-FC",0.275320423929826
"STAT1","Endothelial",-0.270466163862491
"SMAD5","Macrophage",0.269136464159535
"CDKN1A","OuterZone-FC",0.268832606628143
"FOXO1","FC-ECM",0.266532652301857
"SMAD4","FC-Degenerated",-0.264029581895962
"EPAS1","Proliferating-G2M",0.263997115000973
"SMAD4","Meniscus-Progenitor",-0.262393164397155
"NFKB2","FC-Degenerated",0.261822734641485
"HES1","Macrophage",-0.258629219982946
"SOX5","FC-ECM",-0.256426564303238
"HIF1A","Meniscus-Progenitor",0.255303096095923
"PITX1","Smooth-Muscle",-0.254278796816478
"ETS2","OuterZone-FC",0.252504689575641
"ERG","Proliferating-G2M",-0.250294504557181
"SMAD2","Endothelial",-0.248489067650885
"HIF1A","Proliferating-S",-0.248020326835311
"REL","FC-Metabolic",-0.245105009325713
"FOXO3","Smooth-Muscle",0.244653818842877
"TBX5","Meniscus-Progenitor",-0.243540753877427
"PITX1","Proliferating-G2M",-0.2427183377757
"RBPJ","Endothelial",-0.241043039746001
"SOX5","Macrophage",0.240916613488202
"LEF1","Proliferating-G2M",-0.239506583046018
"FOXO1","Male-Inflammatory",0.23939948007571
"FOXO1","FC-Degenerated",0.235124239388909
"ZEB1","FC-Regulatory",-0.232530004837493
"SNAI1","Proliferating-M",-0.231367403158006
"RELA","Proliferating-S",-0.230936639205808
"EPAS1","Proliferating-M",0.230868370941884
"SOX9","Smooth-Muscle",-0.224702582505357
"TCF7L2","OuterZone-FC",0.223035779722808
"RUNX2","FC-Metabolic",0.221642512571207
"STAT1","Meniscus-Progenitor",-0.219549497907781
"FOXO1","Stem-Progenitor",0.218486434091328
