"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.19752446424348e-06,0.578593094906971,0.421,0.377,0.131949553573749,"3","RNF220"
5.36196054835363e-06,0.749678404666478,0.341,0.289,0.136124092441054,"3","PTGES2"
5.37923277564031e-06,0.501327184701643,0.479,0.443,0.13656258247518,"3","NCOR1"
5.7171117993501e-06,0.66903489676456,0.371,0.32,0.145140317250101,"3","TMEM183A"
5.79904245698099e-06,0.592670680969547,0.436,0.404,0.147220290855376,"3","ALG2"
6.06662439992483e-06,0.841184496015449,0.284,0.223,0.154013393640892,"3","ZBTB43"
6.97763543876466e-06,0.642230064728722,0.404,0.361,0.177141230883918,"3","SRF"
6.98717923693723e-06,0.659462194507985,0.358,0.305,0.177383519288125,"3","GLRX2"
7.72745603796938e-06,0.665105440608178,0.365,0.316,0.196176926435929,"3","ZPR1"
7.87500127061022e-06,0.866334438624562,0.256,0.196,0.199922657256982,"3","WDR46"
7.97815545624682e-06,0.873400738998075,0.25,0.19,0.202541432567738,"3","MGA"
8.16489880548167e-06,0.602169852944361,0.395,0.337,0.207282285974763,"3","HIPK2"
1.04523210358401e-05,0.812417925983099,0.288,0.231,0.265353074136873,"3","VARS"
1.1249214127263e-05,0.701821189942152,0.314,0.256,0.285583799048826,"3","HBS1L"
1.19626787945277e-05,0.633739923807511,0.395,0.348,0.303696526556674,"3","DUSP5"
1.23784838208394e-05,0.667888914081699,0.386,0.35,0.31425256875965,"3","TERF1"
1.25361563405145e-05,0.602558549744394,0.404,0.367,0.318255401016642,"3","KPNA3"
1.28746969007976e-05,0.691987882916604,0.349,0.3,0.326849930220549,"3","SERTAD1"
1.34096018886012e-05,0.808415979067788,0.301,0.25,0.34042956314592,"3","DNAJA3"
1.34922892727173e-05,0.65640182017362,0.323,0.264,0.342528747766475,"3","SPSB1"
1.39282998239986e-05,0.829724837209136,0.263,0.205,0.353597747631853,"3","FASTKD2"
1.63896365175277e-05,0.592965848921699,0.408,0.367,0.416083702270475,"3","MEAF6"
1.7152316943541e-05,0.556276724573251,0.438,0.397,0.435445870245675,"3","ATF5"
1.85320802612104e-05,0.624013482161271,0.386,0.348,0.470473921591348,"3","PRPF4"
1.90260759866165e-05,0.800238878157614,0.286,0.231,0.483014991072232,"3","RCC1L"
2.12157326715715e-05,0.773679478654871,0.308,0.261,0.538603805333187,"3","MPDU1"
2.65185844253373e-05,0.767883916718597,0.262,0.205,0.673227302806039,"3","ME2"
2.67613394604269e-05,0.771686794688278,0.297,0.243,0.679390124881857,"3","ZNF622"
3.22430312364052e-05,0.734592463630792,0.282,0.224,0.81855383399862,"3","DMAC2"
3.30470483028237e-05,0.538618634775012,0.43,0.413,0.838965415263786,"3","TWF1"
3.50631702890692e-05,0.751711119593714,0.299,0.25,0.890148704128599,"3","KHDC4"
3.62091491900339e-05,0.732117468865405,0.306,0.254,0.919241670487391,"3","EMC8"
3.66981281749585e-05,0.503617738240326,0.425,0.388,0.931655379977672,"3","SMARCA4"
3.75861971452606e-05,0.64523912212393,0.341,0.294,0.954200786926731,"3","ARIH2"
3.77324868552134e-05,0.784304481631737,0.31,0.265,0.957914643793304,"3","E2F4"
3.93888000073023e-05,0.741708704734341,0.299,0.247,0.999963465785383,"3","ASCC3"
4.02462030511562e-05,0.612380201668473,0.384,0.348,1,"3","KDM3A"
4.45694748649189e-05,0.747022359536078,0.28,0.228,1,"3","ABT1"
4.4602242527204e-05,0.636084887811986,0.371,0.333,1,"3","MED19"
