"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072132","mesenchyme morphogenesis","3/19","59/18860",0.0508474576271186,50.4727921498662,12.0860979294985,2.71919929405227e-05,0.000817242987830618,0.000322660968863618,"ADAMTS5/SMAD2/BMP7",3
"GO:0043409","negative regulation of MAPK cascade","4/19","183/18860",0.0218579234972678,21.6968651136037,8.9343036901333,2.96663154368017e-05,0.000856862678872687,0.00033830347432169,"PDCD4/TLR4/FOXO1/PPARG",4
"GO:0071453","cellular response to oxygen levels","4/19","183/18860",0.0218579234972678,21.6968651136037,8.9343036901333,2.96663154368017e-05,0.000856862678872687,0.00033830347432169,"FOXO1/HIF1A/BMP7/PPARG",4
"GO:0060350","endochondral bone morphogenesis","3/19","61/18860",0.0491803278688525,48.8179465056083,11.8788013962379,3.00653571534276e-05,0.000856862678872687,0.00033830347432169,"MMP13/COL1A1/RUNX2",3
"GO:0090287","regulation of cellular response to growth factor stimulus","5/19","385/18860",0.012987012987013,12.8913192071087,7.48604329524362,3.17196031118148e-05,0.00088868650752254,0.00035086804512623,"DKK3/SMAD2/HIF1A/RUNX2/PPARG",5
"GO:0010718","positive regulation of epithelial to mesenchymal transition","3/19","63/18860",0.0476190476190476,47.2681704260652,11.6813352062317,3.31316021238393e-05,0.000912775638511774,0.000360378830118954,"COL1A1/SMAD2/BMP7",3
"GO:2001054","negative regulation of mesenchymal cell apoptotic process","2/19","10/18860",0.2,198.526315789474,19.8405378968961,4.30615714360049e-05,0.00116689799317567,0.000460710514069423,"HIF1A/BMP7",2
"GO:0048662","negative regulation of smooth muscle cell proliferation","3/19","71/18860",0.0422535211267606,41.9421793921423,10.9757057128659,4.74432272027994e-05,0.00126489765429399,0.000499402391608414,"PDCD4/PTEN/PPARG",3
"GO:0022617","extracellular matrix disassembly","3/19","72/18860",0.0416666666666667,41.359649122807,10.8957595441553,4.94744730563713e-05,0.00129770833222853,0.000512356586736515,"ADAMTS5/MMP13/ADAMTS4",3
"GO:0010616","negative regulation of cardiac muscle adaptation","2/19","11/18860",0.181818181818182,180.478468899522,18.9081351254892,5.25991882996439e-05,0.00129770833222853,0.000512356586736515,"FOXO1/PPARG",2
"GO:0035666","TRIF-dependent toll-like receptor signaling pathway","2/19","11/18860",0.181818181818182,180.478468899522,18.9081351254892,5.25991882996439e-05,0.00129770833222853,0.000512356586736515,"TRAF6/TLR4",2
"GO:1903243","negative regulation of cardiac muscle hypertrophy in response to stress","2/19","11/18860",0.181818181818182,180.478468899522,18.9081351254892,5.25991882996439e-05,0.00129770833222853,0.000512356586736515,"FOXO1/PPARG",2
"GO:1905461","positive regulation of vascular associated smooth muscle cell apoptotic process","2/19","11/18860",0.181818181818182,180.478468899522,18.9081351254892,5.25991882996439e-05,0.00129770833222853,0.000512356586736515,"PDCD4/PPARG",2
"GO:0001707","mesoderm formation","3/19","77/18860",0.038961038961039,38.673957621326,10.5193349581079,6.04888905329303e-05,0.00145791720064324,0.000575609682172007,"HMGA2/SMAD2/BMP7",3
"GO:0060348","bone development","4/19","220/18860",0.0181818181818182,18.0478468899522,8.07685113771977,6.0856797848992e-05,0.00145791720064324,0.000575609682172007,"MMP13/COL1A1/SMAD5/RUNX2",4
"GO:1903706","regulation of hemopoiesis","5/19","443/18860",0.0112866817155756,11.2035166924082,6.90122924931108,6.191073471482e-05,0.00145885017245641,0.000575978034783948,"TRAF6/NLRP3/SOCS1/TLR4/HIF1A",5
"GO:0009880","embryonic pattern specification","3/19","78/18860",0.0384615384615385,38.1781376518219,10.4483610192659,6.28684145308556e-05,0.00145885017245641,0.000575978034783948,"SMAD5/SMAD2/BMP7",3
"GO:0030522","intracellular receptor signaling pathway","5/19","447/18860",0.0111856823266219,11.1032615094784,6.86494773560422,6.46078320067308e-05,0.00145885017245641,0.000575978034783948,"TRAF6/NLRP3/TLR4/HMGA2/PPARG",5
"GO:0045669","positive regulation of osteoblast differentiation","3/19","79/18860",0.0379746835443038,37.6948700866089,10.3787177089915,6.53084771698573e-05,0.00145885017245641,0.000575978034783948,"SMAD5/BMP7/RUNX2",3
"GO:0048332","mesoderm morphogenesis","3/19","79/18860",0.0379746835443038,37.6948700866089,10.3787177089915,6.53084771698573e-05,0.00145885017245641,0.000575978034783948,"HMGA2/SMAD2/BMP7",3
"GO:0051092","positive regulation of NF-kappaB transcription factor activity","3/19","80/18860",0.0375,37.2236842105263,10.310363444047,6.78097853157997e-05,0.00149452766836023,0.000590064096783099,"TRAF6/NLRP3/TLR4",3
"GO:0071222","cellular response to lipopolysaccharide","4/19","229/18860",0.0174672489082969,17.3385428637095,7.89945511962734,7.11103988925739e-05,0.00154665117591348,0.00061064331458997,"TRAF6/PDCD4/NLRP3/TLR4",4
"GO:2001053","regulation of mesenchymal cell apoptotic process","2/19","13/18860",0.153846153846154,152.712550607287,17.3762568135719,7.45056087765105e-05,0.0015845947312436,0.000625624054109612,"HIF1A/BMP7",2
"GO:0043434","response to peptide hormone","5/19","461/18860",0.0108459869848156,10.7660691859801,6.74151190176733,7.47721651766488e-05,0.0015845947312436,0.000625624054109612,"COL1A1/SOCS1/FOXO1/BMP7/PPARG",5
"GO:0002720","positive regulation of cytokine production involved in immune response","3/19","88/18860",0.0340909090909091,33.8397129186603,9.80549609712249,9.01092711023792e-05,0.00188545095104092,0.000744407036422054,"TRAF6/NLRP3/TLR4",3
"GO:0071219","cellular response to molecule of bacterial origin","4/19","247/18860",0.0161943319838057,16.0750053270829,7.57324345480058,9.53279370106525e-05,0.00196971349848261,0.000777675275613218,"TRAF6/PDCD4/NLRP3/TLR4",4
"GO:0042475","odontogenesis of dentin-containing tooth","3/19","91/18860",0.032967032967033,32.7241179872759,9.63327240823071,9.95665979371059e-05,0.00199506235786367,0.000787683422087735,"TRAF6/BMP7/RUNX2",3
"GO:0014745","negative regulation of muscle adaptation","2/19","15/18860",0.133333333333333,132.350877192982,16.1608683357464,0.000100175544889706,0.00199506235786367,0.000787683422087735,"FOXO1/PPARG",2
"GO:0097152","mesenchymal cell apoptotic process","2/19","15/18860",0.133333333333333,132.350877192982,16.1608683357464,0.000100175544889706,0.00199506235786367,0.000787683422087735,"HIF1A/BMP7",2
"GO:0033002","muscle cell proliferation","4/19","252/18860",0.0158730158730159,15.7560568086884,7.48867350099993,0.000103004863671698,0.00202698856725378,0.000800288414491893,"PDCD4/TLR4/PTEN/PPARG",4
"GO:0001667","ameboidal-type cell migration","4/19","256/18860",0.015625,15.5098684210526,7.4227433974975,0.000109463146745616,0.00205541652780735,0.000811512240736496,"PTEN/SMAD2/HIF1A/BMP7",4
"GO:0048704","embryonic skeletal system morphogenesis","3/19","94/18860",0.0319148936170213,31.6797312430011,9.46921064368751,0.000109650104717869,0.00205541652780735,0.000811512240736496,"SMAD2/BMP7/RUNX2",3
"GO:0002573","myeloid leukocyte differentiation","4/19","257/18860",0.0155642023346304,15.4495187384804,7.40649283649136,0.00011112272364932,0.00205541652780735,0.000811512240736496,"TRAF6/SOCS1/TLR4/PPARG",4
"GO:0007179","transforming growth factor beta receptor signaling pathway","4/19","258/18860",0.0155038759689922,15.3896368829049,7.39033327354847,0.000112800547897445,0.00205541652780735,0.000811512240736496,"DKK3/SMAD5/SMAD2/PPARG",4
"GO:0030072","peptide hormone secretion","4/19","258/18860",0.0155038759689922,15.3896368829049,7.39033327354847,0.000112800547897445,0.00205541652780735,0.000811512240736496,"FOXO1/HMGA2/SMAD2/HIF1A",4
"GO:0071347","cellular response to interleukin-1","3/19","95/18860",0.0315789473684211,31.3462603878116,9.41622558138872,0.000113153601954307,0.00205541652780735,0.000811512240736496,"TRAF6/NLRP3/HIF1A",3
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation","3/19","95/18860",0.0315789473684211,31.3462603878116,9.41622558138872,0.000113153601954307,0.00205541652780735,0.000811512240736496,"PDCD4/PTEN/PPARG",3
"GO:0002756","MyD88-independent toll-like receptor signaling pathway","2/19","16/18860",0.125,124.078947368421,15.6401665245438,0.000114417564476735,0.00205578515304395,0.000811657780040913,"TRAF6/TLR4",2
"GO:0014020","primary neural tube formation","3/19","97/18860",0.0309278350515464,30.6999457406403,9.31267698942509,0.0001203781481692,0.00209320942157548,0.000826433496594261,"TRAF6/HIF1A/BMP7",3
"GO:1990874","vascular associated smooth muscle cell proliferation","3/19","97/18860",0.0309278350515464,30.6999457406403,9.31267698942509,0.0001203781481692,0.00209320942157548,0.000826433496594261,"PDCD4/PTEN/PPARG",3
"GO:0001657","ureteric bud development","3/19","98/18860",0.0306122448979592,30.3866809881848,9.26207229221162,0.000124100543597369,0.00209320942157548,0.000826433496594261,"SMAD5/SMAD2/BMP7",3
"GO:0002534","cytokine production involved in inflammatory response","3/19","98/18860",0.0306122448979592,30.3866809881848,9.26207229221162,0.000124100543597369,0.00209320942157548,0.000826433496594261,"PDCD4/TLR4/HIF1A",3
"GO:1900015","regulation of cytokine production involved in inflammatory response","3/19","98/18860",0.0306122448979592,30.3866809881848,9.26207229221162,0.000124100543597369,0.00209320942157548,0.000826433496594261,"PDCD4/TLR4/HIF1A",3
"GO:0002790","peptide secretion","4/19","266/18860",0.0150375939849624,14.9267906608627,7.26423037102536,0.000126894850161046,0.00209320942157548,0.000826433496594261,"FOXO1/HMGA2/SMAD2/HIF1A",4
"GO:0072163","mesonephric epithelium development","3/19","99/18860",0.0303030303030303,30.0797448165869,9.21222109704394,0.000127897248384225,0.00209320942157548,0.000826433496594261,"SMAD5/SMAD2/BMP7",3
"GO:0072164","mesonephric tubule development","3/19","99/18860",0.0303030303030303,30.0797448165869,9.21222109704394,0.000127897248384225,0.00209320942157548,0.000826433496594261,"SMAD5/SMAD2/BMP7",3
"GO:1904892","regulation of receptor signaling pathway via STAT","3/19","99/18860",0.0303030303030303,30.0797448165869,9.21222109704394,0.000127897248384225,0.00209320942157548,0.000826433496594261,"SOCS1/HMGA2/PPARG",3
"GO:0060349","bone morphogenesis","3/19","100/18860",0.03,29.7789473684211,9.16310459271069,0.000131768931026892,0.00213543179399463,0.000843103583453798,"MMP13/COL1A1/RUNX2",3
"GO:0046883","regulation of hormone secretion","4/19","272/18860",0.0147058823529412,14.5975232198142,7.17318588402098,0.000138275359517159,0.00221911814836762,0.00087614433214756,"FOXO1/HMGA2/HIF1A/PPARG",4
"GO:0071216","cellular response to biotic stimulus","4/19","274/18860",0.0145985401459854,14.490971955436,7.14347798166882,0.000142228460248432,0.0022301295234509,0.000880491804081612,"TRAF6/PDCD4/NLRP3/TLR4",4
"GO:0001823","mesonephros development","3/19","103/18860",0.029126213592233,28.9115993868166,9.01998472707598,0.000143840502797416,0.0022301295234509,0.000880491804081612,"SMAD5/SMAD2/BMP7",3
"GO:0060039","pericardium development","2/19","18/18860",0.111111111111111,110.292397660819,14.7314963470012,0.000145707192094796,0.0022301295234509,0.000880491804081612,"SMAD2/BMP7",2
"GO:1905288","vascular associated smooth muscle cell apoptotic process","2/19","18/18860",0.111111111111111,110.292397660819,14.7314963470012,0.000145707192094796,0.0022301295234509,0.000880491804081612,"PDCD4/PPARG",2
"GO:1905459","regulation of vascular associated smooth muscle cell apoptotic process","2/19","18/18860",0.111111111111111,110.292397660819,14.7314963470012,0.000145707192094796,0.0022301295234509,0.000880491804081612,"PDCD4/PPARG",2
"GO:0001841","neural tube formation","3/19","105/18860",0.0285714285714286,28.3609022556391,8.92792813678719,0.000152275277666941,0.00230927554113261,0.000911739953196559,"TRAF6/HIF1A/BMP7",3
"GO:0032868","response to insulin","4/19","280/18860",0.0142857142857143,14.1804511278196,7.05619528876456,0.000154580759249468,0.0023129117253015,0.000913175578493285,"COL1A1/SOCS1/FOXO1/PPARG",4
"GO:0042593","glucose homeostasis","4/19","281/18860",0.0142348754448399,14.1299868889305,7.04190952558005,0.000156712712180138,0.0023129117253015,0.000913175578493285,"COL1A1/FOXO1/HIF1A/PPARG",4
"GO:0050708","regulation of protein secretion","4/19","281/18860",0.0142348754448399,14.1299868889305,7.04190952558005,0.000156712712180138,0.0023129117253015,0.000913175578493285,"TLR4/FOXO1/HIF1A/PPARG",4
"GO:0033500","carbohydrate homeostasis","4/19","282/18860",0.0141843971631206,14.0798805524449,7.02769668004864,0.000158865931962121,0.00232394146489722,0.000917530301038799,"COL1A1/FOXO1/HIF1A/PPARG",4
"GO:0055093","response to hyperoxia","2/19","19/18860",0.105263157894737,104.487534626039,14.3316773581836,0.000162751400799251,0.00235989531158914,0.000931725470872905,"COL1A1/FOXO1",2
"GO:1901222","regulation of non-canonical NF-kappaB signal transduction","3/19","109/18860",0.0275229357798165,27.3201352003863,8.7513147471289,0.000170097449492547,0.0024449659479233,0.000965312756845573,"PDCD4/NLRP3/BMP7",3
"GO:0003184","pulmonary valve morphogenesis","2/19","20/18860",0.1,99.2631578947368,13.9620574780323,0.000180726276833197,0.00254388662365228,0.00100436826609636,"ADAMTS5/SMAD2",2
"GO:0043506","regulation of JUN kinase activity","2/19","20/18860",0.1,99.2631578947368,13.9620574780323,0.000180726276833197,0.00254388662365228,0.00100436826609636,"TRAF6/PDCD4",2
"GO:0015833","peptide transport","4/19","292/18860",0.0136986301369863,13.5976928622927,6.88944176970839,0.000181596262305486,0.00254388662365228,0.00100436826609636,"FOXO1/HMGA2/SMAD2/HIF1A",4
"GO:0002065","columnar/cuboidal epithelial cell differentiation","3/19","113/18860",0.0265486725663717,26.3530507685142,8.5839605705491,0.000189224538421856,0.00260656801676107,0.00102911591071536,"SMAD2/HIF1A/BMP7",3
"GO:0051091","positive regulation of DNA-binding transcription factor activity","3/19","113/18860",0.0265486725663717,26.3530507685142,8.5839605705491,0.000189224538421856,0.00260656801676107,0.00102911591071536,"TRAF6/NLRP3/TLR4",3
"GO:0002755","MyD88-dependent toll-like receptor signaling pathway","2/19","21/18860",0.0952380952380952,94.5363408521303,13.6190011492947,0.000199630125955277,0.00268283413174043,0.0010592270268915,"TRAF6/TLR4",2
"GO:0010612","regulation of cardiac muscle adaptation","2/19","21/18860",0.0952380952380952,94.5363408521303,13.6190011492947,0.000199630125955277,0.00268283413174043,0.0010592270268915,"FOXO1/PPARG",2
"GO:1903242","regulation of cardiac muscle hypertrophy in response to stress","2/19","21/18860",0.0952380952380952,94.5363408521303,13.6190011492947,0.000199630125955277,0.00268283413174043,0.0010592270268915,"FOXO1/PPARG",2
"GO:0032963","collagen metabolic process","3/19","116/18860",0.0258620689655172,25.6715063520871,8.46403946177798,0.000204451063267417,0.00272546457726645,0.00107605822772325,"MMP13/COL1A1/HIF1A",3
"GO:0045165","cell fate commitment","4/19","304/18860",0.0131578947368421,13.0609418282548,6.7322461809554,0.000211880421587392,0.00280190669507167,0.00110623883270891,"SMAD5/SMAD2/RUNX2/PPARG",4
"GO:0046885","regulation of hormone biosynthetic process","2/19","22/18860",0.0909090909090909,90.2392344497608,13.2994578090622,0.000219461256088754,0.00284693199480513,0.00112401556135841,"DKK3/HIF1A",2
