"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
0.167318495877756,0.586654336877301,0.7,0.536,1,"TNFRSF11B","Endothelial"
0.168443793443004,-0.802510521653824,0.2,0.369,1,"NTRK2","Endothelial"
0.169283488248575,1.78744675640988,0.15,0.06,1,"SORT1","Endothelial"
0.178468629487234,1.55166904577978,0.2,0.095,1,"NECTIN1","Endothelial"
0.181018017866664,-0.39219576473375,0.5,0.643,1,"VCAM1","Endothelial"
0.200142978902016,0.630512460715071,0.6,0.524,1,"ADIPOR1","Endothelial"
0.200872973062632,-1.49478206954191,0.05,0.155,1,"IFNAR2","Endothelial"
0.20164402545542,-0.67191563419106,0.35,0.476,1,"IL3RA","Endothelial"
0.207657499543668,1.90542250603267,0.15,0.071,1,"SDC1","Endothelial"
0.214326256506237,1.37613867632573,0.2,0.107,1,"LRP6","Endothelial"
0.216719715356893,0.336719678142592,0.9,0.833,1,"BMPR2","Endothelial"
0.216884761345243,1.90511337088345,0.1,0.036,1,"FGFR3","Endothelial"
0.219017571366748,1.34716168549162,0.3,0.179,1,"TEK","Endothelial"
0.222868042428351,-0.699546442220877,0.25,0.381,1,"TNFRSF14","Endothelial"
0.224582114873023,-1.50528538760638,0,0.071,1,"CADM3","Endothelial"
0.225281028795552,2.34569556093658,0.1,0.036,1,"GFRA2","Endothelial"
0.225603477064856,-0.458575784333149,0.45,0.631,1,"TNFRSF12A","Endothelial"
0.234837574729326,-0.518532486911956,0.2,0.321,1,"ITGA6","Endothelial"
0.237386561003234,0.455151075559164,0.7,0.655,1,"JAM3","Endothelial"
0.240513720958276,-1.02295534064939,0.2,0.298,1,"PTPRM","Endothelial"
0.242764272574196,0.968412752443172,0.1,0.036,1,"ERBB2","Endothelial"
0.249618082465357,-0.477009414472911,0.15,0.298,1,"JAM2","Endothelial"
0.252442940252917,-1.3660117811876,0.1,0.202,1,"IGF1R","Endothelial"
0.25375844182822,1.19950514314798,0.2,0.107,1,"FZD7","Endothelial"
0.267235377931542,2.90282674428045,0.05,0.012,1,"EPHA4","Endothelial"
0.270741541662342,-1.35890581597941,0,0.06,1,"L1CAM","Endothelial"
0.279531376404765,-0.153501558801955,0.4,0.571,1,"LTBR","Endothelial"
0.282472647358208,1.63548602883283,0.05,0.012,1,"GIPR","Endothelial"
0.282472647358208,1.95521676955589,0.05,0.012,1,"ADORA1","Endothelial"
0.282472647358208,1.31819221897115,0.05,0.012,1,"SELL","Endothelial"
0.298044614931735,0.537164105763946,0.6,0.488,1,"ITGA2","Endothelial"
0.310853288906642,0.950923133380168,0.25,0.155,1,"LRP5","Endothelial"
0.313959719114304,-0.418527444711329,0.25,0.381,1,"IL10RB","Endothelial"
0.318282729468997,-0.354852927629094,0.4,0.56,1,"PLXNB2","Endothelial"
0.325235807147618,0.546374827303494,0.4,0.286,1,"FLT4","Endothelial"
0.326390089836763,0.328226584796159,0.8,0.798,1,"PODXL","Endothelial"
0.327444795962548,-0.311742812077134,0.65,0.798,1,"LRP1","Endothelial"
0.328074382198358,-0.402007218173272,0.45,0.607,1,"CXCR4","Endothelial"
0.328940006734216,-0.40812520654367,0.15,0.274,1,"CAP1","Endothelial"
0.336273648970308,0.425993206737353,0.5,0.381,1,"NOTCH4","Endothelial"
0.342572133008089,1.87010871689777,0.1,0.048,1,"PTH1R","Endothelial"
0.35306605454557,-1.10808251867569,0.1,0.179,1,"CD274","Endothelial"
